# Matter power spectrum P(k) at redshift z=0
# for k=0.000135576 to 10.7823 h/Mpc,
# number of wavenumbers equal to 111
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.355756215688e-04       4.213786963699e+02 
       1.706795952128e-04       7.797045829182e+02 
       2.148728796881e-04       1.200672451780e+03 
       2.705089285447e-04       1.687358360623e+03 
       3.405505642622e-04       2.254082639753e+03 
       4.287277593505e-04       2.922209218961e+03 
       5.397362709879e-04       3.718343985914e+03 
       6.794877072137e-04       4.673578661511e+03 
       8.554243416131e-04       5.822979061416e+03 
       1.076915441524e-03       7.204610483597e+03 
       1.355756215688e-03       8.857441070933e+03 
       1.706795952128e-03       1.081766653090e+04 
       2.148728796881e-03       1.311268528270e+04 
       2.705089285447e-03       1.575226534219e+04 
       3.405505642622e-03       1.871667579719e+04 
       4.287277593505e-03       2.187334660817e+04 
       5.397362709879e-03       2.519896422646e+04 
       6.794877072137e-03       2.843462902845e+04 
       8.554243416131e-03       3.126846187355e+04 
       1.076915441524e-02       3.328607202913e+04 
       1.355756215650e-02       3.400417279549e+04 
       1.706795834551e-02       3.298995556685e+04 
       2.148677566262e-02       3.012046727170e+04 
       2.700589765435e-02       2.595364345567e+04 
       3.307851192260e-02       2.211307389315e+04 
       3.768957729682e-02       1.998778715377e+04 
       4.116448948614e-02       1.875209586493e+04 
       4.411670613696e-02       1.786273413439e+04 
       4.679483163863e-02       1.712531208379e+04 
       4.931613782379e-02       1.645325195196e+04 
       5.174538372339e-02       1.580249667739e+04 
       5.412260185932e-02       1.515039867337e+04 
       5.647470342470e-02       1.448729280708e+04 
       5.882100781664e-02       1.381237840868e+04 
       6.117615117963e-02       1.313117556351e+04 
       6.355173707999e-02       1.245353598808e+04 
       6.595733115130e-02       1.179182347855e+04 
       6.840109007590e-02       1.115916402246e+04 
       7.089017535372e-02       1.056779387723e+04 
       7.343103451338e-02       1.002759357885e+04 
       7.602959745011e-02       9.544900528649e+03 
       7.869141656584e-02       9.121675661170e+03 
       8.142176858616e-02       8.755079824089e+03 
       8.422572955483e-02       8.437509704119e+03 
       8.710823062194e-02       8.157157133655e+03 
       9.007409980960e-02       7.899172995496e+03 
       9.312809338050e-02       7.647480304309e+03 
       9.627491941930e-02       7.387160984955e+03 
       9.951925556597e-02       7.107113665550e+03 
       1.028657623944e-01       6.802414385830e+03 
       1.063190936319e-01       6.475651441582e+03 
       1.098839042198e-01       6.136606430131e+03 
       1.135648570835e-01       5.800084028557e+03 
       1.173666294003e-01       5.482311842876e+03 
       1.212939190976e-01       5.196855757671e+03 
       1.253514522833e-01       4.951158225115e+03 
       1.295439922882e-01       4.744593302542e+03 
       1.338763509878e-01       4.568555300835e+03 
       1.383534030611e-01       4.408751685878e+03 
       1.429801038404e-01       4.249457838080e+03 
       1.477615114002e-01       4.078763898278e+03 
       1.527028135423e-01       3.892929380093e+03 
       1.578093603452e-01       3.697658140378e+03 
       1.630867029757e-01       3.505228872937e+03 
       1.685406395165e-01       3.328631395807e+03 
       1.741772686435e-01       3.175586796301e+03 
       1.800030521184e-01       3.045317343795e+03 
       1.860248872441e-01       2.929497622544e+03 
       1.922501906871e-01       2.816972749867e+03 
       1.986869954235e-01       2.699980716605e+03 
       2.053440630342e-01       2.578268390395e+03 
       2.122310142008e-01       2.458227680489e+03 
       2.193584810829e-01       2.347603959826e+03 
       2.267382863505e-01       2.249784722800e+03 
       2.343836550974e-01       2.161868328725e+03 
       2.423094678005e-01       2.077681379756e+03 
       2.505325650984e-01       1.993098848353e+03 
       2.590721187143e-01       1.909009318176e+03 
       2.679500877376e-01       1.829294064676e+03 
       2.771917863135e-01       1.756217560111e+03 
       2.868265984674e-01       1.688246302288e+03 
       2.968888897411e-01       1.622343685056e+03 
       3.074191857636e-01       1.557568945940e+03 
       3.184657184243e-01       1.495399427018e+03 
       3.300864869140e-01       1.436821271308e+03 
       3.423520536165e-01       1.380786227690e+03 
       3.553494112031e-01       1.326081487458e+03 
       3.691874488128e-01       1.272942849333e+03 
       3.840048704305e-01       1.221687952796e+03 
       3.999819906221e-01       1.171609312640e+03 
       4.173588797220e-01       1.122224232689e+03 
       4.364643349784e-01       1.073452975528e+03 
       4.577641935220e-01       1.024677070269e+03 
       4.819461308507e-01       9.752866936322e+02 
       5.100777568531e-01       9.244583334376e+02 
       5.439228930556e-01       8.709083976471e+02 
       5.866260876295e-01       8.126489928592e+02 
       6.443053041741e-01       7.463678808200e+02 
       7.297400154546e-01       6.667190866426e+02 
       8.674508584661e-01       5.682891574941e+02 
       1.078820501841e+00       4.591425592738e+02 
       1.357414769138e+00       3.585412195381e+02 
       1.708875181741e+00       2.713686372676e+02 
       2.151346373191e+00       1.983628038684e+02 
       2.708384618777e+00       1.400424427204e+02 
       3.409654221490e+00       9.579288503735e+01 
       4.292500344866e+00       6.376845651957e+01 
       5.403937764287e+00       4.150291318640e+01 
       6.803154575215e+00       2.652327037530e+01 
       8.564664175101e+00       1.670711732493e+01 
       1.078227337352e+01       1.040609945168e+01 
