# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04482e-05 to 10.4607 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044822576549e-05       3.010757573654e+01 
       1.315353692434e-05       3.755568306452e+01 
       1.655932188902e-05       4.684626567072e+01 
       2.084695112817e-05       5.843511040703e+01 
       2.624475653369e-05       7.289070268422e+01 
       3.304019092661e-05       9.092208547974e+01 
       4.159513596804e-05       1.134135702634e+02 
       5.236517367720e-05       1.414679646549e+02 
       6.592384783524e-05       1.764603538629e+02 
       8.299320728303e-05       2.201049409778e+02 
       1.044822576549e-04       2.745379143512e+02 
       1.315353692434e-04       3.424198274454e+02 
       1.655932188902e-04       4.270614059448e+02 
       2.084695112817e-04       5.325768060766e+02 
       2.624475653369e-04       6.640678737301e+02 
       3.304019092661e-04       8.278412798158e+02 
       4.159513596804e-04       1.031656919369e+03 
       5.236517367720e-04       1.285000435928e+03 
       6.592384783524e-04       1.599365692999e+03 
       8.299320728303e-04       1.988524678845e+03 
       1.044822576549e-03       2.468728243308e+03 
       1.315353692434e-03       3.058528267093e+03 
       1.655932188902e-03       3.779016191041e+03 
       2.084695112817e-03       4.652306247502e+03 
       2.624475653369e-03       5.699835694173e+03 
       3.304019092661e-03       6.939139121498e+03 
       4.159513596804e-03       8.352990628739e+03 
       5.236517367720e-03       9.972369988376e+03 
       6.592384783524e-03       1.174332965384e+04 
       8.299320728303e-03       1.358927452598e+04 
       1.044822576549e-02       1.537311346905e+04 
       1.315353692434e-02       1.688678437598e+04 
       1.655932188863e-02       1.784726431625e+04 
       2.084694985907e-02       1.794250616159e+04 
       2.624418536716e-02       1.696737510446e+04 
       3.298868067468e-02       1.507186416083e+04 
       4.044780890488e-02       1.309376740496e+04 
       4.614030583288e-02       1.195329506079e+04 
       5.041913719347e-02       1.130474510840e+04 
       5.404841664572e-02       1.085736263814e+04 
       5.733784563253e-02       1.050161722473e+04 
       6.043302852345e-02       1.018528004224e+04 
       6.341417417463e-02       9.880511153472e+03 
       6.633077840901e-02       9.569717683928e+03 
       6.921606911120e-02       9.243381964055e+03 
       7.209387456163e-02       8.897898275327e+03 
       7.498223048450e-02       8.533746227729e+03 
       7.789542462192e-02       8.155022782243e+03 
       8.084522752106e-02       7.768721301432e+03 
       8.384167022251e-02       7.383989011927e+03 
       8.689355551817e-02       7.010656158465e+03 
       9.000880523048e-02       6.658589523329e+03 
       9.319470256949e-02       6.336228584106e+03 
       9.645806505719e-02       6.049918267315e+03 
       9.980537012715e-02       5.802759920116e+03 
       1.032428476164e-01       5.594701015315e+03 
       1.067765485597e-01       5.421653536398e+03 
       1.104123966876e-01       5.276077249824e+03 
       1.141562271035e-01       5.147344863108e+03 
       1.180138153589e-01       5.022953700347e+03 
       1.219908993177e-01       4.890254083109e+03 
       1.260931956495e-01       4.738757778123e+03 
       1.303264124241e-01       4.562614472611e+03 
       1.346962590361e-01       4.362257192828e+03 
       1.392084545292e-01       4.144353831239e+03 
       1.438687352870e-01       3.921703172193e+03 
       1.486828629901e-01       3.708952464821e+03 
       1.536566337016e-01       3.519690290810e+03 
       1.587958889143e-01       3.362402000780e+03 
       1.641065293783e-01       3.238523452773e+03 
       1.695945325180e-01       3.142329448807e+03 
       1.752659742366e-01       3.060856351311e+03 
       1.811270559075e-01       2.977360173850e+03 
       1.871841373548e-01       2.878217617936e+03 
       1.934437766441e-01       2.758300235190e+03 
       1.999127775386e-01       2.622749441143e+03 
       2.065982455407e-01       2.484305839918e+03 
       2.135076535446e-01       2.358154412689e+03 
       2.206489182756e-01       2.254878387991e+03 
       2.280304889214e-01       2.174977648614e+03 
       2.356614496714e-01       2.109500417392e+03 
       2.435516383073e-01       2.044841398127e+03 
       2.517117835642e-01       1.969504881229e+03 
       2.601536647444e-01       1.881985391047e+03 
       2.688902980747e-01       1.791335856208e+03 
       2.779361556358e-01       1.709488916670e+03 
       2.873074244635e-01       1.642761172476e+03 
       2.970223157839e-01       1.587403543481e+03 
       3.071014375312e-01       1.533338316300e+03 
       3.175682476231e-01       1.473483784949e+03 
       3.284496114357e-01       1.409184130504e+03 
       3.397764952438e-01       1.348350140718e+03 
       3.515848391925e-01       1.295926513009e+03 
       3.639166703539e-01       1.249164836866e+03 
       3.768215413245e-01       1.201624220537e+03 
       3.903584170011e-01       1.151704841112e+03 
       4.045981888759e-01       1.103405587740e+03 
       4.196270846366e-01       1.059727239317e+03 
       4.355513823340e-01       1.018033106178e+03 
       4.525040710987e-01       9.752150475617e+02 
       4.706544953263e-01       9.331394193457e+02 
       4.902227134276e-01       8.933412140117e+02 
       5.115015717179e-01       8.535381725397e+02 
       5.348919223483e-01       8.135012357715e+02 
       5.609613029659e-01       7.739782565366e+02 
       5.905468261099e-01       7.335124322022e+02 
       6.249467740681e-01       6.919850791188e+02 
       6.663033629623e-01       6.481365819489e+02 
       7.184299396206e-01       6.005659635789e+02 
       7.887336768010e-01       5.466600807624e+02 
       8.926767309575e-01       4.823475037048e+02 
       1.060079326907e+00       4.036113776830e+02 
       1.317704150570e+00       3.170377090063e+02 
       1.657921034068e+00       2.382034728654e+02 
       2.087187089007e+00       1.716423606733e+02 
       2.627612839412e+00       1.184914359679e+02 
       3.307968575886e+00       7.874849957835e+01 
       4.164485701599e+00       5.074970671009e+01 
       5.242776876797e+00       3.193803681340e+01 
       6.600265038566e+00       1.974487936951e+01 
       8.309241381627e+00       1.204822242831e+01 
       1.046071512806e+01       7.282289440097e+00 
