# Matter power spectrum P(k) at redshift z=2.5
# for k=1.82241e-07 to 11.5105 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.822414996638e-07       2.619685379231e-01 
       2.294284550103e-07       3.267752352183e-01 
       2.888333122011e-07       4.076140407563e-01 
       3.636195965027e-07       5.084510338130e-01 
       4.577699502636e-07       6.342334358972e-01 
       5.762982231426e-07       7.911323292283e-01 
       7.255164778860e-07       9.868454194109e-01 
       9.133711306861e-07       1.230974696119e+00 
       1.149866126820e-06       1.535497520338e+00 
       1.447595687215e-06       1.915354249308e+00 
       1.822414996638e-06       2.389181228328e+00 
       2.294284550103e-06       2.980225106111e+00 
       2.888333122011e-06       3.717483329101e+00 
       3.636195965027e-06       4.637126753655e+00 
       4.577699502636e-06       5.784274150055e+00 
       5.762982231426e-06       7.215205615402e+00 
       7.255164778860e-06       9.000123392087e+00 
       9.133711306861e-06       1.122659538001e+01 
       1.149866126820e-05       1.400384989923e+01 
       1.447595687215e-05       1.746813176791e+01 
       1.822414996638e-05       2.178938104352e+01 
       2.294284550103e-05       2.717955942157e+01 
       2.888333122011e-05       3.390302739621e+01 
       3.636195965027e-05       4.228947072338e+01 
       4.577699502636e-05       5.274998938150e+01 
       5.762982231426e-05       6.579709718599e+01 
       7.255164778860e-05       8.206953179584e+01 
       9.133711306861e-05       1.023629324852e+02 
       1.149866126820e-04       1.276675776030e+02 
       1.447595687215e-04       1.592144231571e+02 
       1.822414996638e-04       1.985305229819e+02 
       2.294284550103e-04       2.475043061680e+02 
       2.888333122011e-04       3.084597357017e+02 
       3.636195965027e-04       3.842354812458e+02 
       4.577699502636e-04       4.782602797843e+02 
       5.762982231426e-04       5.946086680746e+02 
       7.255164778860e-04       7.380144468302e+02 
       9.133711306861e-04       9.138174092781e+02 
       1.149866126820e-03       1.127819761747e+03 
       1.447595687215e-03       1.385993606784e+03 
       1.822414996638e-03       1.693861270229e+03 
       2.294284550103e-03       2.055363124514e+03 
       2.888333122011e-03       2.471354720050e+03 
       3.636195965027e-03       2.937622140777e+03 
       4.577699502636e-03       3.442177646670e+03 
       5.762982231426e-03       3.962183193100e+03 
       7.255164778860e-03       4.460593735415e+03 
