# Matter power spectrum P(k) at redshift z=0.5
# for k=1.93827e-07 to 12.2431 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.938266604647e-07       8.866947059893e-01 
       2.440133083422e-07       1.106048357813e+00 
       3.071945546879e-07       1.379666486383e+00 
       3.867350312614e-07       1.720973228115e+00 
       4.868705584860e-07       2.146713629005e+00 
       6.129337183325e-07       2.677775182339e+00 
       7.716378337542e-07       3.340212600914e+00 
       9.714344776150e-07       4.166526100057e+00 
       1.222963549763e-06       5.197255904901e+00 
       1.539619890494e-06       6.482971208643e+00 
       1.938266604647e-06       8.086751158829e+00 
       2.440133083422e-06       1.008727958463e+01 
       3.071945546879e-06       1.258270527974e+01 
       3.867350312614e-06       1.569545719810e+01 
       4.868705584860e-06       1.957825073709e+01 
       6.129337183325e-06       2.442157965438e+01 
       7.716378337542e-06       3.046306092224e+01 
       9.714344776150e-06       3.799909047068e+01 
       1.222963549763e-05       4.739938065736e+01 
       1.539619890494e-05       5.912509066169e+01 
       1.938266604647e-05       7.375143532905e+01 
       2.440133083422e-05       9.199587379647e+01 
       3.071945546879e-05       1.147532453052e+02 
       3.867350312614e-05       1.431395452654e+02 
       4.868705584860e-05       1.785464286751e+02 
       6.129337183325e-05       2.227089954537e+02 
       7.716378337542e-05       2.777899488260e+02 
       9.714344776150e-05       3.464837962492e+02 
       1.222963549763e-04       4.321453111623e+02 
       1.539619890494e-04       5.389468334365e+02 
       1.938266604647e-04       6.720688466601e+02 
       2.440133083422e-04       8.379270875910e+02 
       3.071945546879e-04       1.044436401406e+03 
       3.867350312614e-04       1.301305760746e+03 
       4.868705584860e-04       1.620350066572e+03 
       6.129337183325e-04       2.015793928142e+03 
       7.716378337542e-04       2.504530941415e+03 
       9.714344776150e-04       3.106272085132e+03 
       1.222963549763e-03       3.843418673482e+03 
       1.539619890494e-03       4.740347487828e+03 
       1.938266604647e-03       5.821794593932e+03 
       2.440133083422e-03       7.110087638665e+03 
       3.071945546879e-03       8.620517305024e+03 
       3.867350312614e-03       1.035471865162e+04 
       4.868705584860e-03       1.225639289848e+04 
       6.129337183325e-03       1.431997268505e+04 
       7.716378337542e-03       1.641003143982e+04 
       9.714344776150e-03       1.834312194450e+04 
       1.222963549763e-02       1.985002872167e+04 
       1.539619890477e-02       2.058219010682e+04 
       1.938266537646e-02       2.017904734447e+04 
       2.440098134565e-02       1.845292155071e+04 
       3.068390173379e-02       1.569660160905e+04 
       3.778387623107e-02       1.301859758720e+04 
       4.333953319547e-02       1.156053728860e+04 
       4.746813406231e-02       1.080057773386e+04 
       5.094342868614e-02       1.031064407907e+04 
       5.408043767365e-02       9.938350932079e+03 
       5.702502546414e-02       9.614888668521e+03 
       5.985665016823e-02       9.303267947190e+03 
       6.262394975050e-02       8.982280703989e+03 
       6.535937568841e-02       8.640498605681e+03 
       6.808608488347e-02       8.273627646388e+03 
       7.082153302911e-02       7.883039633788e+03 
       7.357950001163e-02       7.474638223876e+03 
       7.637130370392e-02       7.057712676420e+03 
       7.920656413029e-02       6.643670194123e+03 
       8.209370433238e-02       6.244667096135e+03 
       8.504028974867e-02       5.872237052841e+03 
       8.805326457547e-02       5.536039424268e+03 
       9.113912013318e-02       5.242837357307e+03 
       9.430401699441e-02       4.995769513381e+03 
       9.755387483028e-02       4.793933790174e+03 
       1.008944391911e-01       4.632285505801e+03 
       1.043313314771e-01       4.501880912548e+03 
       1.078700864614e-01       4.390563173963e+03 
       1.115161804980e-01       4.284231733392e+03 
       1.152750527319e-01       4.168783008896e+03 
       1.191521210912e-01       4.032600348874e+03 
       1.231527944791e-01       3.869132213163e+03 
       1.272824823473e-01       3.678781855597e+03 
       1.315466026735e-01       3.469276719042e+03 
       1.359505892643e-01       3.254063170542e+03 
       1.404998992439e-01       3.048998175867e+03 
       1.452000215434e-01       2.868304330979e+03 
       1.500564871853e-01       2.720990162228e+03 
       1.550748821393e-01       2.608620102155e+03 
       1.602608635150e-01       2.524817439482e+03 
       1.656201798504e-01       2.456656317770e+03 
       1.711586962520e-01       2.388094477835e+03 
       1.768824251471e-01       2.305177143718e+03 
       1.827975634231e-01       2.201486812451e+03 
       1.889105367617e-01       2.081072772433e+03 
       1.952280520327e-01       1.956612609514e+03 
       2.017571587094e-01       1.843294420527e+03 
       2.085053204057e-01       1.751685394009e+03 
       2.154804978461e-01       1.683157071442e+03 
       2.226912448645e-01       1.629657532682e+03 
       2.301468194273e-01       1.577938008153e+03 
       2.378573122043e-01       1.516897247649e+03 
       2.458337959182e-01       1.444278881261e+03 
       2.540884996416e-01       1.367651349574e+03 
       2.626350134417e-01       1.298273648285e+03 
       2.714885304190e-01       1.242648999722e+03 
       2.806661353671e-01       1.198243956321e+03 
       2.901871522271e-01       1.156217257639e+03 
       3.000735665041e-01       1.109180008447e+03 
       3.103505443186e-01       1.057595328406e+03 
       3.210470774305e-01       1.008275285282e+03 
       3.321967944337e-01       9.664557700540e+02 
       3.438389939279e-01       9.303599219826e+02 
       3.560199783156e-01       8.941278302993e+02 
       3.687948009338e-01       8.554253235250e+02 
       3.822295910706e-01       8.177462908927e+02 
       3.964047021242e-01       7.842144341740e+02 
       4.114190569783e-01       7.527778914531e+02 
       4.273962760484e-01       7.204461366047e+02 
       4.444935312076e-01       6.884946805501e+02 
       4.629146956904e-01       6.586236407198e+02 
       4.829305025374e-01       6.290325453050e+02 
       5.049106009140e-01       5.991406895005e+02 
       5.293767623859e-01       5.698884987734e+02 
       5.570957501788e-01       5.400440507285e+02 
       5.892513317919e-01       5.095230450121e+02 
       6.277858017155e-01       4.774542127441e+02 
       6.761331759953e-01       4.428511026045e+02 
       7.409151147347e-01       4.038693115233e+02 
       8.359059327624e-01       3.576910069281e+02 
       9.882248465055e-01       3.014033614616e+02 
       1.225301065486e+00       2.392900398252e+02 
       1.541326988130e+00       1.830071954743e+02 
       1.940398568584e+00       1.356049358099e+02 
       2.442817022872e+00       9.692307453077e+01 
       3.075324426442e+00       6.675372419058e+01 
       3.871604069960e+00       4.443632516671e+01 
       4.874060748078e+00       2.873589047813e+01 
       6.136078934384e+00       1.815031663696e+01 
       7.724865699270e+00       1.125334566730e+01 
       9.725029731509e+00       6.878122924652e+00 
       1.224308705945e+01       4.158689381044e+00 
