# Matter power spectrum P(k) at redshift z=0.5
# for k=2.09814e-07 to 10.5263 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.098140192535e-07       4.530527020851e-01 
       2.641402005889e-07       5.672032683292e-01 
       3.325328107978e-07       7.101150616799e-01 
       4.186340057686e-07       8.890347230162e-01 
       5.270289881033e-07       1.113034747085e+00 
       6.634901858755e-07       1.393473521738e+00 
       8.352846554746e-07       1.744571278237e+00 
       1.051561078859e-06       2.184131156110e+00 
       1.323836964229e-06       2.734441945502e+00 
       1.666611995340e-06       3.423408281011e+00 
       2.098140192535e-06       4.285965592433e+00 
       2.641402005889e-06       5.365851555062e+00 
       3.325328107978e-06       6.717823852212e+00 
       4.186340057686e-06       8.410436686209e+00 
       5.270289881033e-06       1.052951677477e+01 
       6.634901858755e-06       1.318251500689e+01 
       8.352846554746e-06       1.650395423556e+01 
       1.051561078859e-05       2.066224908763e+01 
       1.323836964229e-05       2.586824290541e+01 
       1.666611995340e-05       3.238589329167e+01 
       2.098140192535e-05       4.054564531297e+01 
       2.641402005889e-05       5.076116494974e+01 
       3.325328107978e-05       6.355027036460e+01 
       4.186340057686e-05       7.956110066656e+01 
       5.270289881033e-05       9.960480621037e+01 
       6.634901858755e-05       1.246963332559e+02 
       8.352846554746e-05       1.561052038530e+02 
       1.051561078859e-04       1.954185373822e+02 
       1.323836964229e-04       2.446188678185e+02 
       1.666611995340e-04       3.061794611800e+02 
       2.098140192535e-04       3.831795992298e+02 
       2.641402005889e-04       4.794412654218e+02 
       3.325328107978e-04       5.996862478281e+02 
       4.186340057686e-04       7.497082182186e+02 
       5.270289881033e-04       9.365477538918e+02 
       6.634901858755e-04       1.168650822815e+03 
       8.352846554746e-04       1.455983867418e+03 
       1.051561078859e-03       1.810059677028e+03 
       1.323836964229e-03       2.243760744477e+03 
       1.666611995340e-03       2.770747609208e+03 
       2.098140192535e-03       3.404277612229e+03 
       2.641402005889e-03       4.155250965923e+03 
       3.325328107978e-03       5.029218955065e+03 
       4.186340057686e-03       6.022340916256e+03 
       5.270289881033e-03       7.102105058134e+03 
       6.634901858755e-03       8.249403728771e+03 
       8.352846554746e-03       9.385393477271e+03 
       1.051561078859e-02       1.040463675125e+04 
       1.323836964229e-02       1.116207818416e+04 
       1.666611995337e-02       1.148046190004e+04 
       2.098140171937e-02       1.118655287108e+04 
       2.641387140479e-02       1.020077043767e+04 
       3.323357968019e-02       8.678674214697e+03 
       4.123299361229e-02       7.151870165120e+03 
       4.790632219269e-02       6.271800519511e+03 
       5.275920367973e-02       5.824788275054e+03 
       5.677246018531e-02       5.536245529696e+03 
       6.036109956609e-02       5.312523974499e+03 
       6.371102674430e-02       5.114407941289e+03 
       6.692101071878e-02       4.922343113941e+03 
       7.005043409568e-02       4.726122596457e+03 
       7.313838240686e-02       4.521066899685e+03 
       7.621244612034e-02       4.306286457666e+03 
       7.929323714499e-02       4.083669480754e+03 
       8.239690320693e-02       3.857105620132e+03 
       8.553661991220e-02       3.631764202687e+03 
       8.872352263282e-02       3.413377952641e+03 
       9.196731331326e-02       3.207547271324e+03 
       9.527666941147e-02       3.019107657354e+03 
       9.865952743487e-02       2.851605813834e+03 
       1.021232841748e-01       2.706917469068e+03 
       1.056749422534e-01       2.585021793340e+03 
       1.093212169616e-01       2.483936916184e+03 
       1.130686155477e-01       2.399827864182e+03 
       1.169234964907e-01       2.327316016037e+03 
       1.208921139910e-01       2.260034638231e+03 
       1.249806514135e-01       2.191455849255e+03 
       1.291952464314e-01       2.115941361345e+03 
       1.335420099682e-01       2.029847730912e+03 
       1.380270405956e-01       1.932397727146e+03 
       1.426564357595e-01       1.825991358685e+03 
