# Matter power spectrum P(k) at redshift z=0
# for k=2.10642e-07 to 10.5711 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.106419072884e-07       9.890720977129e-01 
       2.651824498742e-07       1.233752227973e+00 
       3.338449249084e-07       1.538962187629e+00 
       4.202858595657e-07       1.919676057636e+00 
       5.291085488251e-07       2.394572258596e+00 
       6.661081977134e-07       2.986949942456e+00 
       8.385805371058e-07       3.725872083282e+00 
       1.055710347999e-06       4.647591348064e+00 
       1.329060584589e-06       5.797328700262e+00 
       1.673188143754e-06       7.231491994132e+00 
       2.106419072884e-06       9.020443396171e+00 
       2.651824498742e-06       1.125195139381e+01 
       3.338449249084e-06       1.403549671477e+01 
       4.202858595657e-06       1.750764334804e+01 
       5.291085488251e-06       2.183873803818e+01 
       6.661081977134e-06       2.724126668174e+01 
       8.385805371058e-06       3.398027707705e+01 
       1.055710347999e-05       4.238637834867e+01 
       1.329060584589e-05       5.287195277119e+01 
       1.673188143754e-05       6.595137133554e+01 
       2.106419072884e-05       8.226619686939e+01 
       2.651824498742e-05       1.026165954369e+02 
       3.338449249084e-05       1.280004659664e+02 
       4.202858595657e-05       1.596621463955e+02 
       5.291085488251e-05       1.991529648731e+02 
       6.661081977134e-05       2.484063685643e+02 
       8.385805371058e-05       3.098308492952e+02 
       1.055710347999e-04       3.864243144318e+02 
       1.329060584589e-04       4.819137519280e+02 
       1.673188143754e-04       6.009236729962e+02 
       2.106419072884e-04       7.491752835911e+02 
       2.651824498742e-04       9.337146921155e+02 
       3.338449249084e-04       1.163161542238e+03 
       4.202858595657e-04       1.447958618444e+03 
       5.291085488251e-04       1.800589667217e+03 
       6.661081977134e-04       2.235720440333e+03 
       8.385805371058e-04       2.770199850235e+03 
       1.055710347999e-03       3.422785999610e+03 
       1.329060584589e-03       4.213297592050e+03 
       1.673188143754e-03       5.160860635552e+03 
       2.106419072884e-03       6.281074731913e+03 
       2.651824498742e-03       7.581686827398e+03 
       3.338449249084e-03       9.056792830774e+03 
       4.202858595657e-03       1.067997612839e+04 
       5.291085488251e-03       1.239635400609e+04 
       6.661081977134e-03       1.407874288009e+04 
       8.385805371058e-03       1.565308317313e+04 
       1.055710347999e-02       1.691757220932e+04 
       1.329060584589e-02       1.765742485368e+04 
       1.673188143753e-02       1.764017918397e+04 
       2.106419071104e-02       1.667172177304e+04 
       2.651822111093e-02       1.471418954923e+04 
       3.337924879277e-02       1.205507543310e+04 
       4.176767421019e-02       9.425837609197e+03 
       4.976019741109e-02       7.802187752078e+03 
       5.548147324309e-02       7.057070013740e+03 
       6.003940224406e-02       6.617236062109e+03 
       6.403536159861e-02       6.290602931620e+03 
       6.772359037607e-02       6.007034764956e+03 
       7.123268215492e-02       5.735207863014e+03 
       7.463728763194e-02       5.460465317379e+03 
       7.798527294727e-02       5.177156597453e+03 
       8.130973785383e-02       4.885266758780e+03 
       8.463499502449e-02       4.588501582351e+03 
       8.797982058147e-02       4.292896367572e+03 
       9.135934710312e-02       4.005631522454e+03 
       9.478622813640e-02       3.733977235421e+03 
       9.827138712309e-02       3.484381736545e+03 
       1.018245169687e-01       3.261748494525e+03 
       1.054544234917e-01       3.068934431736e+03 
       1.091692674941e-01       2.906474794579e+03 
       1.129767388715e-01       2.772517426981e+03 
       1.168841838720e-01       2.662948238020e+03 
       1.208986992476e-01       2.571713637274e+03 
       1.250272025019e-01       2.491378383814e+03 
       1.292764845675e-01       2.413966855386e+03 
       1.336532493930e-01       2.332081858032e+03 
       1.381641437035e-01       2.240173942775e+03 
       1.428157793974e-01       2.135681756089e+03 
       1.476147504994e-01       2.019669028490e+03 
       1.525676462406e-01       1.896640462152e+03 
       1.576810615938e-01       1.773456051866e+03 
       1.629616064450e-01       1.657595149709e+03 
       1.684159144776e-01       1.555273363120e+03 
       1.740506527898e-01       1.469944044209e+03 
       1.798725332222e-01       1.401535056169e+03 
       1.858883263514e-01       1.346544732565e+03 
       1.921048790889e-01       1.298992437574e+03 
       1.985291368126e-01       1.252133981611e+03 
       2.051681709529e-01       1.200618598198e+03 
       2.120292129575e-01       1.142364960457e+03 
       2.191196955655e-01       1.079227437045e+03 
       2.264473023539e-01       1.015942896963e+03 
       2.340200265706e-01       9.577955627622e+02 
       2.418462403614e-01       9.081929798014e+02 
       2.499347756381e-01       8.673128052184e+02 
       2.582950180482e-01       8.323402868828e+02 
       2.669370158040e-01       7.991182795069e+02 
       2.758716055431e-01       7.644348417213e+02 
       2.851105579522e-01       7.276919993408e+02 
       2.946667466343e-01       6.908477710772e+02 
       3.045543446913e-01       6.566769505454e+02 
       3.147890548075e-01       6.266985779900e+02 
       3.253883803519e-01       6.002873615580e+02 
       3.363719473312e-01       5.754748574908e+02 
       3.477618901084e-01       5.506737805039e+02 
       3.595833179887e-01       5.258428897343e+02 
       3.718648854785e-01       5.020994211727e+02 
       3.846394969437e-01       4.803198174732e+02 
       3.979451875000e-01       4.602620607925e+02 
       4.118262378272e-01       4.410340490275e+02 
       4.263346035909e-01       4.221761200109e+02 
       4.415317741199e-01       4.039882322937e+02 
       4.574912261414e-01       3.868268958610e+02 
       4.743017171134e-01       3.705167712075e+02 
       4.920717867772e-01       3.546860894827e+02 
       5.109360363217e-01       3.392979244039e+02 
       5.310640890263e-01       3.244612038806e+02 
       5.526737120536e-01       3.100483629028e+02 
       5.760506075919e-01       2.958889433054e+02 
       6.015792971468e-01       2.819479900806e+02 
       6.297932639734e-01       2.681064975525e+02 
       6.614602304466e-01       2.541940557110e+02 
       6.977353442745e-01       2.400355824077e+02 
       7.404546552721e-01       2.253483343385e+02 
       7.927407734663e-01       2.097281462297e+02 
       8.603559654356e-01       1.925250567843e+02 
       9.549013116634e-01       1.726839672298e+02 
       1.100631947536e+00       1.487521094292e+02 
       1.336606228566e+00       1.206550791000e+02 
       1.675580200978e+00       9.331651458408e+01 
       2.109219399407e+00       7.035837558135e+01 
       2.655348600741e+00       5.167618996530e+01 
       3.342885829388e+00       3.684510566771e+01 
       4.208443919342e+00       2.547131328259e+01 
       5.298116994171e+00       1.709680817495e+01 
       6.669934118620e+00       1.117724379093e+01 
       8.396949556924e+00       7.144343880807e+00 
       1.057113317877e+01       4.482119146284e+00 
