# Matter power spectrum P(k) at redshift z=2.5
# for k=1.05073e-05 to 10.519 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050732194988e-05       5.965639847447e+00 
       1.322793461261e-05       7.441430079308e+00 
       1.665298302936e-05       9.282296235071e+00 
       2.096486351784e-05       1.157854123723e+01 
       2.639319943740e-05       1.444279888374e+01 
       3.322706947030e-05       1.801554558132e+01 
       4.183040211561e-05       2.247197164608e+01 
       5.266135620891e-05       2.803052777125e+01 
       6.629671955094e-05       3.496355531398e+01 
       8.346262496127e-05       4.361046726988e+01 
       1.050732194988e-04       5.439404899497e+01 
       1.322793461261e-04       6.784050934086e+01 
       1.665298302936e-04       8.460393835793e+01 
       2.096486351784e-04       1.054957439324e+02 
       2.639319943740e-04       1.315193072214e+02 
       3.322706947030e-04       1.639093126150e+02 
       4.183040211561e-04       2.041736230100e+02 
       5.266135620891e-04       2.541328271841e+02 
       6.629671955094e-04       3.159486158444e+02 
       8.346262496127e-04       3.921280630099e+02 
       1.050732194988e-03       4.854896051400e+02 
       1.322793461261e-03       5.990783684773e+02 
       1.665298302936e-03       7.360050040686e+02 
       2.096486351784e-03       8.991102783080e+02 
       2.639319943740e-03       1.090396221660e+03 
       3.322706947030e-03       1.310187615043e+03 
       4.183040211561e-03       1.556131815969e+03 
       5.266135620891e-03       1.821886114250e+03 
       6.629671955094e-03       2.095681351437e+03 
       8.346262496127e-03       2.359008763131e+03 
       1.050732194988e-02       2.585246074724e+03 
       1.322793461261e-02       2.739876633634e+03 
       1.665298302935e-02       2.782614998210e+03 
       2.096486344245e-02       2.676192531408e+03 
       2.639312917644e-02       2.406630397255e+03 
       3.321560150901e-02       2.014104559917e+03 
       4.138854911036e-02       1.620908163599e+03 
       4.859252060981e-02       1.387475059415e+03 
       5.377087484616e-02       1.274277162597e+03 
       5.799012634764e-02       1.203865788600e+03 
       6.173347224740e-02       1.150302478712e+03 
       6.521199889053e-02       1.103274874488e+03 
       6.853562807365e-02       1.057838634326e+03 
       7.176950816733e-02       1.011506411976e+03 
       7.495606148058e-02       9.632030667783e+02 
       7.812498048738e-02       9.127790132405e+02 
       8.129829255513e-02       8.607521964022e+02 
       8.449315208688e-02       8.080973962628e+02 
       8.772348463245e-02       7.560630003653e+02 
       9.100100733065e-02       7.059954908599e+02 
       9.433588997827e-02       6.591759291275e+02 
       9.773719865431e-02       6.166766852873e+02 
       1.012132022278e-01       5.792409657653e+02 
       1.047715892732e-01       5.472084699361e+02 
       1.084196246000e-01       5.204730902993e+02 
       1.121642639514e-01       4.984810422543e+02 
       1.160122390184e-01       4.802661437995e+02 
       1.199701209455e-01       4.645331583019e+02 
       1.240443679797e-01       4.497846943343e+02 
       1.282413612843e-01       4.345251164813e+02 
       1.325674318652e-01       4.175040092690e+02 
       1.370288808438e-01       3.979715568123e+02 
       1.416319948377e-01       3.758716456139e+02 
       1.463830578961e-01       3.518850217982e+02 
       1.512883612251e-01       3.272783113559e+02 
       1.563542118081e-01       3.035878896499e+02 
       1.615869409358e-01       2.822455935314e+02 
       1.669929136087e-01       2.642085402903e+02 
       1.725785397416e-01       2.497309913800e+02 
       1.783502880762e-01       2.383163762456e+02 
       1.843147036957e-01       2.288151041638e+02 
       1.904784300246e-01       2.197627146408e+02 
       1.968482361932e-01       2.098929099663e+02 
       2.034310506468e-01       1.984128644873e+02 
       2.102340018932e-01       1.854654894133e+02 
       2.172644673125e-01       1.720540613552e+02 
       2.245301310103e-01       1.595220458253e+02 
       2.320390517899e-01       1.487959489530e+02 
       2.397997424674e-01       1.400713313592e+02 
       2.478212619641e-01       1.329018363937e+02 
       2.561133219203e-01       1.263882343259e+02 
       2.646864099861e-01       1.195716114303e+02 
       2.735519325124e-01       1.120687859767e+02 
       2.827223801158e-01       1.042550295982e+02 
       2.922115205891e-01       9.685552326628e+01 
       3.020346249429e-01       9.045615856807e+01 
       3.122087341133e-01       8.507991249004e+01 
       3.227529761867e-01       8.018201810550e+01 
       3.336889471104e-01       7.525367345630e+01 
       3.450411720734e-01       7.016440719148e+01 
       3.568376705233e-01       6.520601392315e+01 
       3.691106558069e-01       6.074512418302e+01 
       3.818974117303e-01       5.678274237530e+01 
       3.952414045029e-01       5.305766408667e+01 
       4.091937120643e-01       4.934849058282e+01 
       4.238148876729e-01       4.576426556804e+01 
       4.391774273739e-01       4.244240724240e+01 
       4.553690924747e-01       3.936824491193e+01 
       4.724974672227e-01       3.642737467832e+01 
       4.906963417742e-01       3.357666541511e+01 
       5.101348622632e-01       3.088209950214e+01 
       5.310309991934e-01       2.834317783893e+01 
       5.536719819593e-01       2.588519929439e+01 
       5.784464066888e-01       2.352629881230e+01 
       6.058967848169e-01       2.125746846105e+01 
       6.368097595522e-01       1.904575506735e+01 
       6.723799776679e-01       1.688275937020e+01 
       7.145281514926e-01       1.473897448462e+01 
       7.665671124495e-01       1.258335123440e+01 
       8.347104829622e-01       1.037323384945e+01 
       9.316440894676e-01       8.065640983181e+00 
       1.083575853628e+00       5.682220921978e+00 
       1.327475509286e+00       3.523233096741e+00 
       1.667215940441e+00       2.041728379185e+00 
       2.098811522121e+00       1.166271941164e+00 
       2.642246759913e+00       6.608067829392e-01 
       3.326391590021e+00       3.717013185555e-01 
       4.187678902256e+00       2.077064499334e-01 
       5.271975386484e+00       1.153694668274e-01 
       6.637023784399e+00       6.372967012250e-02 
       8.355517900862e+00       3.502709611873e-02 
       1.051897381410e+01       1.916220790309e-02 
