k                         pk_lin                   
1.25753292568e-07         3.6704008207             
1.58314015631e-07         4.568603765              
1.99305537321e-07         5.68661064042            
2.50910805645e-07         7.07821081431            
3.1587798932e-07          8.81035673089            
3.97666827782e-07         10.9663851165            
5.00632874922e-07         13.6500264628            
6.30259448219e-07         16.9903956916            
7.93449635386e-07         21.1482041111            
9.98893908966e-07         26.3234915326            
1.25753292568e-06         32.765250554             
1.58314015631e-06         40.7834060514            
1.99305537321e-06         50.7637262354            
2.50910805645e-06         63.1863826688            
3.1587798932e-06          78.6490522041            
3.97666827782e-06         97.8956723166            
5.00632874922e-06         121.852233304            
6.30259448219e-06         151.671329384            
7.93449635386e-06         188.78761212             
9.98893908966e-06         234.986814153            
1.25753292568e-05         292.491664073            
1.58314015631e-05         364.066241186            
1.99305537321e-05         453.153556233            
2.50910805645e-05         564.03671377             
3.1587798932e-05          702.044661627            
3.97666827782e-05         873.805382944            
5.00632874922e-05         1087.55943893            
6.30259448219e-05         1353.54540658            
7.93449635386e-05         1684.47088534            
9.98893908966e-05         2096.08210195            
0.000125753292568         2607.84070307            
0.000158314015631         3243.70612112            
0.000199305537321         4033.00039748            
0.000250910805645         5011.29603563            
0.00031587798932          6221.21774028            
0.000397666827782         7712.99938412            
0.000500632874922         9544.60010075            
0.000630259448219         11781.0672392            
0.000793449635386         14492.3553395            
0.000998893908966         17748.1479076            
0.00125753292568          21608.578388             
0.00158314015631          26111.036864             
0.00199305537321          31250.5331159            
0.00250910805645          36955.9316597            
0.0031587798932           43060.6311932            
0.00397666827782          49270.1938308            
0.00500632874922          55143.6699547            
0.00630259448219          60057.8732436            
0.00793449635386          63227.1633391            
0.00998893908965          63765.795325             
0.0125753292249           60874.207063             
0.0158313690365           54310.0824897            
0.0199248517913           45054.393566             
0.024857249708            35872.1311685            
0.0292885374068           30388.6058815            
0.0324659795697           27771.7252104            
0.0350412976242           26164.1696235            
0.0373197854411           24948.4180415            
0.0394337122383           23885.1519238            
0.0414514796773           22859.335832             
0.0434134278578           21817.2443143            
0.045345727946            20733.5764485            
0.0472666445894           19606.2521502            
0.0491896950527           18448.8968377            
0.0511253849844           17283.1831306            
0.0530822277872           16136.237886             
0.0550673759529           15038.4886239            
0.0570870293394           14016.9670321            
0.0591467087583           13094.4691887            
0.0612514447735           12285.9185252            
0.0634059111844           11597.2241418            
0.0656145212724           11024.5869486            
0.067881498285            10554.4690887            
0.0702109276547           10165.1791442            
0.072606795996            9827.04274666            
0.0750730203618           9508.0084403             
0.0776134702315           9175.20596934            
0.0802319840432           8803.0155236             
0.0829323816379           8376.57367079            
0.0857184736966           7896.11483192            
0.0885940690513           7378.01617522            
0.0915629806254           6850.32321025            
0.0946290306754           6346.01845487            
0.0977960559505           5894.99546801            
0.101067913356            5516.11465552            
0.104448486684            5213.22503321            
0.107941694958            4973.96121768            
0.111551502942            4773.19748853            
0.115281934338            4579.6702825             
0.119137088218            4366.80406532            
0.123121159209            4120.55713292            
0.127238461986            3845.32917285            
0.131493460624            3562.90018389            
0.135890803401            3301.40962921            
0.140435363711            3079.01472596            
0.145132287804            2897.972852              
0.149987050242            2747.75410673            
0.155005518091            2609.80335701            
0.160194025165            2465.16878545            
0.165559457944            2307.04194338            
0.171109355242            2144.13685742            
0.176852024326            1991.30973904            
0.182796676924            1859.302801              
0.188953589658            1747.72504982            
0.195334294783            1645.1724698             
0.201951809013            1541.89064455            
0.208820910694            1436.16034662            
0.215958479082            1333.96689695            
0.22338391424             1242.26824259            
0.231119662827            1160.34055235            
0.239191884697            1082.9912676             
0.247631309235            1006.24382434            
0.256474351133            932.624851541            
0.265764586642            864.43852711             
0.275554739802            801.151613306            
0.285909404683            740.578778658            
0.296908854102            682.161140186            
0.308654493379            627.023962984            
0.321276877786            574.992403266            
0.334947859032            524.727921797            
0.349899638198            476.591204713            
0.366455886639            430.31830549             
0.385085050643            385.314109667            
0.406496909849            341.355943606            
0.431829388628            297.870481115            
0.463038358591            254.250397438            
0.503777671224            209.660318278            
0.561482781335            163.221069079            
0.651574220463            115.289692825            
0.796604342922            71.5937586894            
1.00010597904             41.3784866386            
1.25899266884             23.5551349684            
1.58497754265             13.3018971257            
1.99536850534             7.45828443725            
2.51202011726             4.15467372799            
3.16244596056             2.30071028771            
3.98128358317             1.26717129535            
5.01213907441             0.694436842615           
6.30990924822             0.378816509977           
