k                         pk_lin                   
6.35961032973e-06         129.370293469            
8.00627505321e-06         161.374371305            
1.00793031183e-05         201.295730388            
1.26890908288e-05         251.092975573            
1.59746188969e-05         313.207245157            
2.01108536731e-05         390.685476017            
2.53180647419e-05         487.326487789            
3.1873555081e-05          607.866987455            
4.01264284558e-05         758.211557567            
5.05161804675e-05         945.717972252            
6.35961032973e-05         1179.54943576            
8.00627505321e-05         1471.10684488            
0.000100793031183         1834.55461192            
0.000126890908288         2287.45060333            
0.000159746188969         2851.48316622            
0.000201108536731         3553.30162359            
0.000253180647419         4425.39707888            
0.00031873555081          5506.94851183            
0.000401264284558         6844.50415361            
0.000505161804675         8492.3297977             
0.000635961032973         10512.1548302            
0.000800627505321         12971.6467776            
0.00100793031183          15940.345955             
0.00126890908288          19482.0642563            
0.00159746188969          23643.2885562            
0.00201108536731          28436.2011947            
0.00253180647419          33816.4010951            
0.0031873555081           39655.4218928            
0.00401264284558          45709.4405936            
0.00505161804675          51595.2577553            
0.00635961032973          56758.1930331            
0.00800627505321          60484.1478899            
0.0100793031183           61935.6085725            
0.0126890907951           60324.9051097            
0.0159745849835           55294.811206             
0.0201049619379           47512.0056146            
0.0250783366169           39268.7719319            
0.0295357245037           33987.7142064            
0.0327327252882           31264.6379999            
0.03532563321             29483.257396             
0.0376204954278           28083.1440183            
0.0397500445815           26844.6198153            
0.0417829822947           25663.8450758            
0.0437598509295           24490.8442059            
0.0457069651474           23303.7947566            
0.0476426964838           22098.5629166            
0.0495806454092           20886.1101807            
0.0515313849357           19684.1144009            
0.0535034849354           18514.2799024            
0.055504146711            17400.2418071            
0.0575396134558           16363.4214714            
0.0596154453542           15420.5722526            
0.0617367094543           14582.2562354            
0.0639081139251           13850.9458925            
0.0661341048724           13220.5964814            
0.0684189372442           12676.7400339            
0.0707667273654           12198.5616466            
0.0731814921714           11759.349536             
0.0756671786427           11331.2341353            
0.0782276859276           10888.7991219            
0.0808668819742           10412.3983017            
0.0835886160521           9894.52729981            
0.0863967282466           9340.17768213            
0.0892950568169           8765.76075568            
0.0922874441767           8197.35636463            
0.0953777421739           7662.12341093            
0.0985698172913           7182.53606435            
0.101867556359            6770.82603726            
0.105274873342            6425.22080814            
0.108795717765            6130.99889295            
0.112434085312            5864.34351996            
0.116194031146            5599.13837662            
0.120079686483            5316.15816348            
0.124095278962            5009.57900531            
0.128245157349            4688.27540298            
0.132533821148            4372.53910367            
0.136965955704            4084.07779779            
0.141546473466            3834.59052184            
0.146280562147            3620.83831952            
0.151173740641            3429.35871523            
0.156231923777            3245.35399166            
0.16146149719             3057.38681255            
0.166869403977            2863.37302493            
0.172463245225            2672.77423593            
0.178251397121            2497.20382063            
0.184243148143            2341.36028517            
0.190448860884            2202.0539664             
0.19688016446             2069.70283528            
0.203550185342            1937.98665613            
0.21047382699             1808.78225406            
0.217668112146            1686.69956609            
0.225152606502            1575.43771885            
0.232949949248            1472.63047106            
0.241086525741            1374.06180342            
0.249593331721            1278.31896827            
0.258507099436            1187.77097286            
0.267871787728            1103.27134571            
0.277740587072            1023.41032442            
0.288178667905            946.855286064            
0.299267026309            873.908053532            
0.311107991478            804.713822979            
0.323833323409            738.730959757            
0.337616483192            675.243908149            
0.352691884247            614.380973296            
0.369386344903            555.559004202            
0.388172976891            498.357940998            
0.409768834945            442.320180801            
0.435323915287            386.727791257            
0.466815699104            330.822176936            
0.507940259922            273.496617966            
0.566222101118            213.552185692            
0.657259424437            151.42026492             
0.803764437772            94.5031885497            
1.00914505421             54.9421550988            
1.27037335671             31.4526260234            
1.59930498856             17.8560576219            
2.01340569108             10.0617475622            
2.53472758875             5.63141000303            
3.19103297345             3.13243725118            
4.01727250016             1.73267285074            
5.05744643655             0.953435261314           
6.36694783776             0.522170323967           
