z=1 k                     pk_nl                    
1.2921434953e-07          1.70418244355            
1.62671228192e-07         2.12576908534            
2.04790942939e-07         2.65164931215            
2.57816522171e-07         3.30762363752            
3.24571771341e-07         4.12587519677            
4.08611650892e-07         5.14654870227            
5.14411590863e-07         6.41972000646            
6.47605823859e-07         8.00785290211            
8.15287428483e-07         9.98886369458            
1.02638606163e-06         12.4599438986            
1.2921434953e-06          15.5423286076            
1.62671228192e-06         19.387244478             
2.04790942939e-06         24.1833291485            
2.57816522171e-06         30.1658860993            
3.24571771341e-06         37.6284290128            
4.08611650892e-06         46.9370820175            
5.14411590863e-06         58.5485423152            
6.47605823859e-06         73.032486467             
8.15287428483e-06         91.0995196231            
1.02638606163e-05         113.636038933            
1.2921434953e-05          141.747750013            
1.62671228192e-05         176.812762965            
2.04790942939e-05         220.551234518            
2.57816522171e-05         275.107868442            
3.24571771341e-05         343.156884353            
4.08611650892e-05         428.032171374            
5.14411590863e-05         533.888543394            
6.47605823859e-05         665.90111459             
8.15287428483e-05         830.510468867            
0.000102638606163         1035.72149087            
0.00012921434953          1291.4628228             
0.000162671228192         1610.00984906            
0.000204790942939         2006.46535485            
0.000257816522171         2499.27514797            
0.000324571771341         3110.72975982            
0.000408611650892         3867.37166594            
0.000514411590863         4800.20238593            
0.000647605823859         5944.55998506            
0.000815287428483         7339.40459914            
0.00102638606163          9025.33567081            
0.0012921434953           11040.4178062            
0.00162671228192          13413.6887768            
0.00204790942939          16155.8711935            
0.00257816522171          19246.8023181            
0.00324571771341          22619.0148923            
0.00408611650892          26093.9897999            
0.00514411590863          29533.4234104            
0.00647605823859          32593.7535964            
0.00815287428483          34869.7793042            
0.0102638606163           35880.484936             
0.0129214349083           35168.9994728            
0.0162670807128           32515.8930795            
0.0204721682392           28270.4891222            
0.0255129755616           23704.0658964            
0.0299653609559           20744.9974503            
0.0331648337391           19167.7411883            
0.0357702397405           18106.8753062            
0.0380810793852           17260.9171496            
0.040228071745            16509.3416836            
0.0422792367426           15795.7841175            
0.0442748667723           15092.3600594            
0.0462411883033           14387.2302594            
0.0481965521244           13678.4456605            
0.0501545682357           12971.0918014            
0.052125833459            12274.1646492            
0.0541189484222           11599.0672837            
0.0561411486191           10957.3348794            
0.0581987131489           10359.9371075            
0.0602972389655           9814.9097171             
0.0624418303375           9327.2335538             
0.0646372329137           8897.23089762            
0.0668879304593           8521.14430853            
0.0691982157355           8190.68519054            
0.0715722430326           7894.20020704            
0.074014067411            7617.61662781            
0.0765276741441           7346.46704812            
0.079117000848            7067.88619563            
0.0817859541186           6772.83258691            
0.0845384220589           6458.08970979            
0.0873782837817           6127.21078393            
0.0903094167826           5789.43282771            
0.0933357029462           5458.47459784            
0.0964610338666           5147.68483721            
0.0996893161097           4868.17228771            
0.103024477011            4624.76235143            
0.106470471583            4415.82113609            
0.110031291088            4232.85855068            
0.113710973835            4063.28377686            
0.11751361874             3894.32735957            
0.121443402192            3716.96347564            
0.125504598771            3529.41701227            
0.129701606368            3337.25524502            
0.134038976276            3150.65113898            
0.138521448862            2979.99439114            
0.143153995472            2830.23942761            
0.147941867335            2698.59747662            
0.152890652351            2577.82193203            
0.158006340824            2460.80317487            
0.163295401484            2342.82313162            
0.168764869471            2223.47201934            
0.17442244842             2107.67945533            
0.180276629399            2000.66647111            
0.186336830278            1903.97221104            
0.192613560162            1815.51247314            
0.199118614958            1730.77037199            
0.205865312073            1647.09008749            
0.212868774828            1565.79963247            
0.22014628074             1488.91258175            
0.22771769276             1417.72153153            
0.235605999534            1350.8661785             
0.243838000686            1286.43123155            
0.252445187658            1224.01680271            
0.26146489207             1164.62834449            
0.270941806089            1108.4336566             
0.28093002944             1054.6310213             
0.291495877165            1002.69836203            
0.302721811437            952.732866044            
0.314712077177            904.616857602            
0.327600996214            858.017367455            
0.341565549349            812.543450884            
0.356845142333            768.094746046            
0.373773948388            724.220425748            
0.392836420385            680.513061272            
0.414768094441            636.422587228            
0.440751172972            591.136524463            
0.472823934983            543.528195344            
0.514807756795            491.784359566            
0.574501685383            433.118167537            
0.668025250982            364.461365871            
0.818209762713            288.809919988            
1.0275744377              220.623319149            
1.29358341543             165.348049914            
1.62852477948             121.100797854            
2.05019122845             86.2484415482            
2.58103783653             59.5383094374            
3.24933412121             39.7990280495            
4.09066929661             25.8098453498            
5.14984752874             16.3014997942            
6.4832739208              10.0733766778            
