k                         pk_lin                   
1.44581234115e-07         0.87146228073            
1.82016989696e-07         1.08704768227            
2.29145813706e-07         1.35596535806            
2.88477487881e-07         1.69140883352            
3.63171640224e-07         2.10983549478            
4.57206006721e-07         2.63177401396            
5.75588260286e-07         3.28283151822            
7.24622687604e-07         4.09494991587            
9.12245915387e-07         5.1079730167             
1.14844956469e-06         6.37160133223            
1.44581234115e-06         7.94783046116            
1.82016989696e-06         9.91399269124            
2.29145813706e-06         12.3665510434            
2.88477487881e-06         15.4258318996            
3.63171640224e-06         19.241928405             
4.57206006721e-06         24.0020642746            
5.75588260286e-06         29.939779284             
7.24622687604e-06         37.3463870989            
9.12245915387e-06         46.5852675837            
1.14844956469e-05         58.1096947905            
1.44581234115e-05         72.4850883872            
1.82016989696e-05         90.4162306297            
2.29145813706e-05         112.78278554             
2.88477487881e-05         140.681545282            
3.63171640224e-05         175.480197644            
4.57206006721e-05         218.883907127            
5.75588260286e-05         273.017954213            
7.24622687604e-05         340.530011617            
9.12245915387e-05         424.716096322            
0.000114844956469         529.674586522            
0.000144581234115         660.492272697            
0.000182016989696         823.464914202            
0.000229145813706         1026.35078867            
0.000288477487881         1278.6479185             
0.000363171640224         1591.87266933            
0.000457206006721         1979.80030244            
0.000575588260286         2458.61254812            
0.000724622687604         3046.88895132            
0.000912245915387         3765.33499179            
0.00114844956469          4635.83090975            
0.00144581234115          5679.88204329            
0.00182016989696          6915.04128411            
0.00229145813706          8350.3258063             
0.00288477487881          9979.62871539            
0.00363171640224          11772.7464841            
0.00457206006721          13664.3203788            
0.00575588260286          15541.9412048            
0.00724622687604          17232.0129471            
0.00912245915387          18494.6394317            
0.0114844956468           19031.5139374            
0.0144581232573           18546.0015591            
0.0182015900049           16893.8868211            
0.0229003881232           14328.2612546            
0.0284006844039           11753.1338677            
0.032968740591            10279.7028151            
0.0362947062863           9538.38686778            
0.0390485313402           9067.35073374            
0.0415125570513           8707.51110139            
0.043813530201            8391.75040832            
0.0460189012588           8085.72209957            
0.0481692713256           7770.88214168            
0.0502913878278           7438.43329755            
0.052404145142            7085.951235              
0.0545216668833           6716.0866195             
0.0566550232374           6335.00099062            
0.0588132507025           5951.63538254            
0.061003989316            5576.32021646            
0.0632338977669           5219.39076162            
0.0655089332496           4890.23487267            
0.0678345455547           4596.2544287             
0.0702158148543           4341.67494627            
0.0726575513768           4127.68538735            
0.0751643685842           3951.8852478             
0.077740737484            3808.49148217            
0.0803910272344           3688.39187285            
0.0831195356236           3580.41861543            
0.0859305119801           3472.36101323            
0.0888281743984           3352.96521352            
0.0918167227161           3214.19877728            
0.0949003483797           3053.04425334            
0.0980832421403           2872.46683035            
0.101369600388            2680.94996287            
0.104763630848            2490.68598915            
0.108269558319            2314.40332637            
0.111891631075            2162.24395641            
0.115634128566            2039.1393311             
0.119501371004            1943.63663681            
0.123497731446            1868.13818035            
0.127627650947            1801.43664143            
0.131895657374            1730.7257801             
0.136306388478            1646.27588608            
0.140864619808            1546.43503178            
0.145575298092            1438.01648593            
0.150443580757            1332.1647535             
0.155474882298            1238.92140404            
0.160674928347            1163.6420992             
0.166049818415            1104.99898504            
0.171606098508            1055.1014679             
0.1773508451              1004.08330742            
0.183291762349            946.013733484            
0.189437294952            881.708642404            
0.195796759736            817.88245345             
0.202380499994            762.166106267            
0.209200067789            716.738462374            
0.216268441055            677.843246124            
0.223600284514            639.411553406            
0.231212266335            597.928255932            
0.239123446544            555.602324285            
0.247355758772            516.777398246            
0.255934614895            483.501515916            
0.264889673471            453.262549233            
0.274255829497            422.933370125            
0.284074507665            392.325310333            
0.294395378722            363.709052482            
0.305278676562            337.885721309            
0.316798385883            313.439522341            
0.329046720867            289.180796615            
0.342140568832            266.026238625            
0.35623101441             244.519071126            
0.371517859039            223.579724209            
0.388272561673            203.271897013            
0.406876028634            183.845698436            
0.427883989606            164.762917619            
0.452146823411            146.072043466            
0.481044586273            127.430623537            
0.516984937869            108.607117802            
0.564542611083            89.179245512             
0.633148470859            68.7843857164            
0.741949569219            47.8003386739            
0.914524488253            29.3387767756            
1.1496416452              17.0336103045            
1.44728306148             9.7651194632             
1.82202131981             5.55131999327            
2.29378894029             3.13205206616            
2.88770918622             1.75500748318            
3.63541047641             0.977268430006           
4.57671063105             0.541078648341           
5.76173731586             0.298009054592           
7.25359752302             0.163345679556           
