k                         pk_lin                   
7.09849627958e-06         95.0165838616            
8.93647735189e-06         118.522120289            
1.12503584302e-05         147.842538921            
1.41633621196e-05         184.416345754            
1.78306164888e-05         230.036620004            
2.24474162057e-05         286.941203066            
2.82596226905e-05         357.920439703            
3.55767571327e-05         446.453566348            
4.47884836236e-05         556.87814162             
5.63853601895e-05         694.599780426            
7.09849627958e-05         866.351734985            
8.93647735189e-05         1080.51396207            
0.000112503584302         1347.50239163            
0.000141633621196         1680.23751901            
0.000178306164888         2094.69712922            
0.000224474162057         2610.54761294            
0.000282596226905         3251.82981237            
0.000355767571327         4047.64822297            
0.000447884836236         5032.78223687            
0.000563853601895         6248.10866451            
0.000709849627958         7740.6487353             
0.000893647735189         9562.77766518            
0.00112503584302          11769.6300167            
0.00141633621196          14414.2625997            
0.00178306164888          17539.8676629            
0.00224474162057          21167.2466438            
0.00282596226905          25278.4507182            
0.00355767571327          29794.6054819            
0.00447884836236          34548.2396501            
0.00563853601895          39260.2696826            
0.00709849627958          43501.6065593            
0.00893647735189          46689.4651344            
0.0112503584302           48114.6075192            
0.0141633619468           47078.9009922            
0.017830498531            43251.523555             
0.0224324767188           37218.721212             
0.0278009451685           31087.3371835            
0.0322276575257           27487.8493764            
0.0354573064131           25584.8257993            
0.0381365562395           24313.3826664            
0.0405363102856           23305.6053793            
0.0427786037731           22405.4646173            
0.0449285537466           21534.6057666            
0.0470254318844           20652.2785033            
0.0490951472047           19740.2833586            
0.0511560228438           18794.0672539            
0.053221768414            17822.6122995            
0.0553031382664           16840.2391403            
0.0574089171888           15867.323908             
0.0595465368774           14926.7438411            
0.0617224778091           14039.2683945            
0.063942540324            13224.7436202            
0.066212032722            12496.2770344            
0.0685359048448           11860.8490587            
0.0709188447397           11317.4924222            
0.0733653496426           10857.443982             
0.0758797786707           10464.4034506            
0.0784663922211           10115.8990368            
0.081129381545            9785.99426436            
0.0838728909791           9448.72730226            
0.0867010346599           9081.74448274            
0.0896179091171           8671.80553076            
0.0926276028504           8217.8151178             
0.0957342038049           7731.10714075            
0.0989418055321           7234.25614234            
0.102254512743            6754.62250638            
0.105676446909            6317.70663256            
0.109211752525            5941.27886079            
0.112864604653            5630.73523347            
0.116639218309            5376.79474563            
0.120539860303            5158.80833596            
0.124570864075            4950.00264423            
0.128736648126            4727.35409194            
0.1330417386              4475.69459913            
0.137490796608            4197.87219961            
0.142088650894            3913.09627127            
0.146840336502            3646.14762468            
0.151751140137            3414.11873913            
0.156826653055            3221.06621497            
0.162072832431            3058.53793814            
0.167496072381            2908.8788205             
0.1731032861              2753.50274777            
0.178902000944            2585.84118838            
0.184900468828            2413.17181955            
0.191107794953            2249.47893238            
0.197534088813            2106.59803863            
0.204190642582            1984.26716321            
0.211090143591            1871.66915847            
0.218246929721            1758.82612706            
0.225677299439            1642.99226454            
0.233399892133            1530.68383016            
0.24143615997             1428.96876355            
0.249810960233            1337.85787541            
0.258553308321            1251.60431223            
0.267697347862            1166.0002143             
0.277283618648            1083.21028349            
0.287360739903            1006.33857482            
0.297987683449            934.830003762            
0.30923690208             866.158426913            
0.321198726769            799.557805404            
0.333987696049            736.466076846            
0.347751916268            676.721922876            
0.362687339939            618.74694611             
0.379060341525            562.985901656            
0.397244937159            509.111703823            
0.41778723759             456.396495715            
0.441523718984            404.642695599            
0.469813513895            353.049536629            
0.505031266094            300.858884103            
0.551696406215            246.970021403            
0.619136270077            190.321214191            
0.72623464304             132.059863899            
0.895795821058            80.9867118001            
1.12620078937             47.0430042838            
1.41777599842             26.986791388             
1.78487414254             15.3506018895            
2.24702341485             8.66509290923            
2.82883487785             4.85751313659            
3.5612921135              2.70599630487            
4.4834011405              1.49875586564            
5.64426762705             0.825731918092           
7.10571194666             0.452747992188           
