k                         pk_lin                   
5.23133600403e-06         109.696269764            
6.5858618331e-06          137.468077662            
8.29110882026e-06         172.270874997            
1.04378875858e-05         215.884697573            
1.31405219272e-05         270.537260173            
1.65429369784e-05         339.022960248            
2.08263237478e-05         424.8409927              
2.62187882003e-05         532.373389742            
3.30074987319e-05         667.105520549            
4.15539789333e-05         835.899704714            
5.23133600403e-05         1047.33219726            
6.5858618331e-05          1312.10434941            
8.29110882026e-05         1643.53594311            
0.000104378875858         2058.14123862            
0.000131405219272         2576.27075301            
0.000165429369784         3222.76768956            
0.000208263237478         4027.52932921            
0.000262187882003         5025.78070049            
0.000330074987319         6257.78761903            
0.000415539789333         7767.73063813            
0.000523133600403         9601.56153654            
0.00065858618331          11803.5058963            
0.000829110882026         14409.6579044            
0.00104378875858          17436.5823341            
0.00131405219272          20866.6662894            
0.00165429369784          24631.9963323            
0.00208263237478          28598.5824364            
0.00262187882003          32549.5486779            
0.00330074987319          36178.8021739            
0.00415539789333          39086.5779032            
0.00523133600403          40796.5257267            
0.0065858618331           40777.8441158            
0.00829110882026          38512.3009518            
0.0104378875847           33672.5924445            
0.0131405195005           26487.7353908            
0.0165421217229           18218.8276295            
0.0207684841527           11187.6852734            
0.0252055855169           7555.39080933            
0.0284631840715           6508.96233594            
0.0309707646821           6226.49371307            
0.0331282286485           6159.65463224            
0.0350988742062           6131.44015632            
0.0369618254863           6062.71010922            
0.0387616294245           5914.02050002            
0.040526213894            5669.34777661            
0.0422745567831           5330.42093175            
0.0440204013401           4912.50794781            
0.045774235297            4440.81737178            
0.0475444252063           3945.95245193            
0.0493379053672           3459.32208443            
0.0511606162845           3009.35419686            
0.053017794632            2617.49322913            
0.054914171184            2297.49426839            
0.0568541095065           2055.25027462            
0.0588417052409           1889.24907498            
0.0608808584032           1792.99120435            
0.0629753267284           1755.57162142            
0.0651287654              1761.76600728            
0.0673447568134           1791.9756935             
0.069626832935            1823.12782425            
0.0719784921123           1830.87708001            
0.0744032117161           1794.97212779            
0.07690445769             1704.95457397            
0.0794856918674           1564.14278329            
0.082150377785            1389.26355322            
0.0849019856275           1205.43931296            
0.0877439968819           1038.37149336            
0.0906799092427           907.083544359            
0.0937132422873           820.648301329            
0.0968475444257           777.906238275            
0.100086401618            769.121595808            
0.103433448354            777.797707629            
0.10689238137             783.262558752            
0.110466976597            765.589873626            
0.114161109824            716.234914684            
0.117978781575            642.415824288            
0.12192414673             561.913635218            
0.126001549444            492.585921371            
0.13021556402             445.492943434            
0.134571042443            422.185425613            
0.139073169483            414.343492747            
0.143727526418            407.600266607            
0.148540164755            389.800218341            
0.153517691643            357.927141588            
0.158667369202            319.411504979            
0.163997230602            286.152710277            
0.169516216584            264.445731968            
0.175234337254            252.161299062            
0.181162865476            242.053721596            
0.187314570216            227.093959676            
0.193704000974            207.229441633            
0.200347838257            187.80808786             
0.207265330385            173.364962421            
0.214478844527            162.979840722            
0.222014570861            152.663036977            
0.229903434832            140.49368326             
0.238182296724            128.217300862            
0.246895554696            117.948611162            
0.256097325414            109.427453303            
0.265854469523            100.598014814            
0.276250883073            91.522577824             
0.28739373875             83.6109633659            
0.299422825363            76.2759084147            
0.312524989839            68.9055284334            
0.32695733643             62.0191979572            
0.343086191357            55.4499421384            
0.361456071229            49.0117432453            
0.382919545537            42.7933052506            
0.408900007088            36.6189358785            
0.441967211015            30.4190687856            
0.48718658                24.0811127555            
0.555178202803            17.5623312721            
0.665325487758            11.2928476924            
0.830503709295            6.53312466783            
1.04522965912             3.67951302424            
1.31586325934             2.05808715653            
1.65657369095             1.1446752127             
2.08550271605             0.633365199514           
2.6254923656              0.348786807916           
3.30529905753             0.191222710127           
4.1611249771              0.104411549068           
5.23854597532             0.0567929262475          
6.59493864919             0.0307793320648          
8.30253585468             0.0166258922928          
